date,close,ema200,fg_value,slope_pct,regime
2017-10-01,4962000.0,4962000.0,,,WARMUP
2017-10-02,5025000.0,4962627.0,,,WARMUP
2017-10-03,4964000.0,4962641.0,,,WARMUP
2017-10-04,4895000.0,4961967.0,,,WARMUP
2017-10-05,4926000.0,4961610.0,,,WARMUP
2017-10-06,5027000.0,4962260.0,,,WARMUP
2017-10-07,5047000.0,4963103.0,,,WARMUP
2017-10-08,5217000.0,4965630.0,,,WARMUP
2017-10-09,5477000.0,4970718.0,,,WARMUP
2017-10-10,5486000.0,4975845.0,,,WARMUP
2017-10-11,5557000.0,4981628.0,,,WARMUP
2017-10-12,6332000.0,4995064.0,,,WARMUP
2017-10-13,6438000.0,5009422.0,,,WARMUP
2017-10-14,6664000.0,5025885.0,,,WARMUP
2017-10-15,6381000.0,5039369.0,,,WARMUP
2017-10-16,6491000.0,5053813.0,,,WARMUP
2017-10-17,6457000.0,5067775.0,,,WARMUP
2017-10-18,6391000.0,5080942.0,,,WARMUP
2017-10-19,6511000.0,5095171.0,,,WARMUP
2017-10-20,6928000.0,5113408.0,,,WARMUP
2017-10-21,6874000.0,5130927.0,,3.4044,WARMUP
2017-10-22,7039000.0,5149912.0,,3.7739,WARMUP
2017-10-23,6971000.0,5168033.0,,4.1388,WARMUP
2017-10-24,6479000.0,5181077.0,,4.4158,WARMUP
2017-10-25,6643000.0,5195624.0,,4.7165,WARMUP
2017-10-26,6811000.0,5211697.0,,5.0267,WARMUP
2017-10-27,6710000.0,5226605.0,,5.3092,WARMUP
2017-10-28,6715000.0,5241415.0,,5.5539,WARMUP
2017-10-29,6961000.0,5258526.0,,5.7901,WARMUP
2017-10-30,6964000.0,5275496.0,,6.0221,WARMUP
2017-10-31,7422000.0,5296854.0,,6.3278,WARMUP
2017-11-01,7798000.0,5321741.0,,6.54,WARMUP
2017-11-02,8217000.0,5350549.0,,6.8097,WARMUP
2017-11-03,8143000.0,5378335.0,,7.0127,WARMUP
2017-11-04,8346000.0,5407864.0,,7.3123,WARMUP
2017-11-05,8453000.0,5438164.0,,7.6052,WARMUP
2017-11-06,8060000.0,5464252.0,,7.8235,WARMUP
2017-11-07,8243000.0,5491901.0,,8.0883,WARMUP
2017-11-08,8339000.0,5520230.0,,8.3424,WARMUP
2017-11-09,8148000.0,5546377.0,,8.4673,WARMUP
2017-11-10,7541000.0,5566224.0,,8.4838,WARMUP
2017-11-11,7231000.0,5582789.0,,8.4055,WARMUP
2017-11-12,7132000.0,5598204.0,,8.3237,WARMUP
2017-11-13,7487000.0,5616998.0,,8.4137,WARMUP
2017-11-14,7591000.0,5636640.0,,8.4882,WARMUP
2017-11-15,8350000.0,5663639.0,,8.6717,WARMUP
2017-11-16,8710000.0,5693951.0,,8.9417,WARMUP
2017-11-17,8541000.0,5722280.0,,9.1743,WARMUP
2017-11-18,8618000.0,5751093.0,,9.367,WARMUP
2017-11-19,8770000.0,5781132.0,,9.5846,WARMUP
2017-11-20,9025000.0,5813409.0,,9.7521,WARMUP
2017-11-21,8944000.0,5844559.0,,9.8242,WARMUP
2017-11-22,9084000.0,5876792.0,,9.8353,WARMUP
2017-11-23,8943000.0,5907302.0,,9.8351,WARMUP
2017-11-24,9195000.0,5940015.0,,9.8403,WARMUP
