strategy,period,coins,total_trades,avg_sharpe,avg_mdd,avg_total_ret,avg_win_rate,avg_trade_ret
VB_bull,is,1,170,0.239,-0.442,0.053,0.488,0.0016
VB_bull,oos,1,59,-0.986,-0.358,-0.296,0.475,-0.0051
VB_bull,bear,1,27,-1.47,-0.335,-0.247,0.518,-0.0095
VB_bear,is,12,1636,0.101,-0.441,0.004,0.446,0.0005
VB_bear,oos,12,535,0.186,-0.194,0.034,0.463,0.0007
VB_bear,bear,12,252,0.432,-0.132,0.043,0.464,0.0018
VB_auto,is,12,1931,0.074,-0.444,-0.021,0.452,0.0004
VB_auto,oos,12,620,0.355,-0.194,0.067,0.47,0.0016
VB_auto,bear,12,299,0.522,-0.139,0.06,0.49,0.0027
Pump_bull,is,12,403,-0.025,-0.206,-0.003,0.323,0.0003
Pump_bull,oos,12,67,0.075,-0.054,0.028,0.391,0.0043
Pump_bull,bear,12,26,-0.142,-0.029,0.005,0.153,-0.0035
Pump_bear,is,12,200,0.023,-0.139,0.042,0.334,0.0035
Pump_bear,oos,12,31,0.075,-0.036,0.013,0.438,0.0069
Pump_bear,bear,12,14,0.018,-0.018,0.009,0.214,0.0009
Pump_auto,is,12,403,-0.025,-0.206,-0.003,0.323,0.0003
Pump_auto,oos,12,67,0.075,-0.054,0.028,0.391,0.0043
Pump_auto,bear,12,26,-0.142,-0.029,0.005,0.153,-0.0035
Div_bull,is,12,2457,-0.173,-0.589,-0.378,0.37,-0.002
Div_bull,oos,12,756,-0.346,-0.402,-0.211,0.352,-0.0036
Div_bull,bear,12,410,-0.559,-0.33,-0.187,0.331,-0.0058
Div_bear,is,12,2885,-0.18,-0.579,-0.328,0.381,-0.0015
Div_bear,oos,12,873,-0.221,-0.329,-0.129,0.383,-0.0017
Div_bear,bear,12,475,-0.408,-0.282,-0.127,0.363,-0.0033
Div_auto,is,12,2457,-0.173,-0.589,-0.378,0.37,-0.002
Div_auto,oos,12,756,-0.346,-0.402,-0.211,0.352,-0.0036
Div_auto,bear,12,410,-0.559,-0.33,-0.187,0.331,-0.0058
